Trials,Switch_Win_Percentage,Stay_Win_Percentage
498,66.2650602,33.3333333
499,67.3346693,32.2645291
500,68.4,33.4
501,63.4730539,33.7325349
502,63.1474104,36.4541833
503,64.0159046,32.8031809
504,67.0634921,34.3253968
505,63.960396,36.4356436
506,69.3675889,32.6086957
507,65.4832347,36.2919132
508,71.0629921,33.6614173
509,63.2612967,37.9174853
510,68.8235294,33.3333333
511,66.3405088,29.3542074
512,68.359375,31.8359375
513,67.0565302,30.994152
514,64.0077821,36.770428
515,65.8252427,38.0582524
516,67.0542636,32.1705426
517,66.5377176,33.0754352
518,66.988417,36.1003861
519,65.7032755,34.8747592
520,65.1923077,34.4230769
521,67.9462572,33.3973129
522,68.5823755,32.183908
523,68.0688337,32.3135755
524,69.0839695,36.0687023
525,66.4761905,33.7142857
526,65.0190114,32.5095057
527,65.4648956,33.3965844
528,66.8560606,35.2272727
529,68.241966,32.3251418
530,64.1509434,30.1886792
531,65.913371,29.9435028
532,66.1654135,33.4586466
533,65.1031895,33.5834897
534,67.2284644,32.7715356
535,65.4205607,33.6448598
536,63.619403,36.1940299
537,68.1564246,35.5679702
538,64.6840149,32.3420074
539,66.0482375,34.8794063
540,65.1851852,37.037037
541,63.9556377,33.4565619
542,64.9446494,33.3948339
543,63.9042357,32.0441989
544,65.9926471,32.7205882
545,66.2385321,29.9082569
546,64.4688645,30.2197802
547,65.8135283,32.1755027
548,65.3284672,30.2919708
549,68.4881603,32.7868852
550,69.4545455,33.0909091
551,65.154265,30.1270417
552,66.3043478,36.4130435
553,65.641953,35.8047016
554,69.4945848,30.5054152
555,66.6666667,34.7747748
556,64.5683453,31.294964
557,66.6068223,31.5978456
558,65.5913978,34.0501792
559,63.3273703,31.4847943
560,65,34.1071429
561,65.4188948,32.2638146
562,67.4377224,32.7402135
563,68.2060391,34.1030195
564,67.9078014,36.3475177
565,66.0176991,33.4513274
566,65.0176678,35.5123675
567,67.5485009,35.0970018
568,64.6126761,32.2183099
569,67.6625659,32.6889279
570,65.6140351,33.1578947
571,68.6514886,32.5744308
572,66.0839161,38.2867133
573,63.5253054,33.6823735
574,64.6341463,33.6236934
575,65.5652174,29.9130435
576,64.4097222,30.9027778
577,70.017331,34.8353553
578,65.7439446,35.2941176
579,67.1848014,35.5785838
580,65.1724138,35.6896552
581,64.7160069,32.0137694
582,68.0412371,34.7079038
583,64.1509434,33.4476844
584,64.3835616,33.7328767
585,66.3247863,34.7008547
586,69.7952218,33.7883959
587,66.0988075,33.3901193
